"μ","κ","α","β","σ0"
0.04450505487671397,0.02748436837296206,0.06690466706319245,0.9249700891644793,1.5010421939871836
0.07338864742844298,0.024911225588166677,0.06572866601917315,0.9271394923416864,1.8708033413336718
0.12450907954437627,0.21771452446442036,0.07685533458628693,0.8419613324120993,1.4549553317336021
0.07722381021397198,0.03783692304033617,0.06928700090107816,0.9265796420564932,2.776501138393741
0.04538221695632939,0.06120284555795049,0.15317477139549834,0.846725228604502,2.9221217790716176
0.08507999936549202,0.07769109457478439,0.07774610580446159,0.9221538941955381,5.659651128110192
0.0909796792811353,0.06168228154766452,0.07071808620491721,0.9291819137950829,4.726881601772968
0.02036093118111403,1.2525011769982919,0.15150642276396062,0.42583410662005644,3.120990740601053
0.07453366430267543,0.06444404453254046,0.04051416199449556,0.9433352905393377,3.4871776232193152
0.044568654169089936,0.10136490738659283,0.10546703087999873,0.8921053624684807,4.433271939245266
0.06443608314539397,0.16046085630496626,0.10709793424093146,0.8574678461157256,2.354270359658718
0.0772142602366032,0.06468505238174906,0.11843565144975421,0.8814643485502459,2.4720919028646526
0.06314807746599359,0.06377099213259099,0.11462756503417634,0.8852724349658234,3.549951212005409
0.009988327717716442,0.059990176838380406,0.08626910615716815,0.9136308938428318,6.307852066082846
0.03922787492528231,0.28285046825100874,0.1933040966870535,0.6365223450306539,2.6510433309143107
0.04033082767653735,0.048738853144624665,0.07758570273146526,0.9090315337049034,2.1522871192772755
0.06697927809373443,0.15462113486299287,0.16706711522482387,0.8328328847751765,2.559207646980924
-0.01248007534633194,0.06498797666267841,0.06208176152325928,0.9378182384767412,3.792180253573097
0.04111962008795865,0.05210035220581199,0.06445888784910792,0.9273082757221046,2.983994948991723
0.0659591561711854,0.05700494867135667,0.0639210006248307,0.9325584507392041,4.0492198842523965
0.07560848111917032,0.14163976203234627,0.09694321404573879,0.9017101602551542,4.72762753510149
0.0767461499190374,0.11731753456949838,0.15359693336869587,0.8463030666313044,2.6800726981199365
0.04143111459277937,0.02957860911217321,0.10237469613373595,0.897525303866264,2.6647918847568643
0.06576181912537911,0.05127632071593602,0.07917289272573545,0.9207271072742645,4.461566030153773
0.09989606519717951,0.06826853482687416,0.12018549931845257,0.8661478180273772,2.130707153035797
0.13539135147389056,0.042053411977223926,0.04850829819085296,0.9513917018091471,4.48034594107923
0.039617583408725315,0.06279901812141722,0.12396452293970078,0.8393048736933569,1.2700147402604116
0.053491861324033475,0.11163770373358942,0.07023082299024097,0.9296691770097589,5.660865961665215
0.04567952441897418,0.030911212808019187,0.09486411699602115,0.8896311571258418,1.2438768717191462
0.0551436622161521,0.028127155135926514,0.08796899007009018,0.9119310099299098,3.048720962808524
0.00818940123836308,0.08210474862955391,0.16279908689282008,0.83710091310718,3.739202068136787
0.03700009136156075,0.06329470409685596,0.15233276269480894,0.8475672373051911,3.8781091630877342
0.10713256351414448,0.06890851100609643,0.12479864584482454,0.8687242879082617,2.9356208376818884
0.08191133085538997,0.03845553527272716,0.08574617718455631,0.9136770791791324,2.5657233152840613
0.05425051007927635,0.10117311979671488,0.08844281987418395,0.8873388437828594,2.0622187784852044
0.0653360490170557,0.0962447134392557,0.12067162395265055,0.8760687907148014,3.1116315958430016
0.07340348146945433,0.02858332684016288,0.060709102289381436,0.9391908977106186,3.334039520447293
0.043473652712638026,0.09038356288874748,0.06608968572490495,0.9172167663859356,2.668624378773206
0.029295631931179296,0.026494801316384337,0.05795100552773456,0.9419489944722653,4.0303259205286945
0.052839332266443065,0.13084158754525152,0.13577276890496576,0.827455308715966,1.9106573730786558
0.042652361595979384,0.060287245227899126,0.06267660687831228,0.9289392135251161,2.773327239137401
0.07955321907312579,0.05663806087147243,0.13360262928268032,0.8552429409876715,2.7034651403984613
0.08418344336194986,0.10355719339047478,0.0765005570538805,0.9169347814983112,4.0169335074682415
0.07672977571125457,0.03106332761159366,0.0583416057617022,0.9415583942382977,3.6077229609191535
0.04114936542606442,0.07880447161590988,0.055605757342268435,0.9249600051349955,2.2783671124011597
0.09597361970195527,0.05207448838113656,0.09225247234665775,0.8896123130525212,2.838584739758951
0.029966849347862534,0.02932474854123703,0.09376781378887204,0.9002497524338604,1.7884042591878018
0.06222013736844249,0.09544309260166559,0.053855579764757126,0.9393780222249236,3.730820761437287
0.054007495469873615,0.029733335349490755,0.0719706886195987,0.9174076844881303,1.711296120731069
0.030180016085611504,0.09490264174538512,0.1396598736884619,0.8602401263115382,3.298347163024778
0.08779070518737175,0.042845198408199545,0.08655641896157994,0.9121258449399893,2.2850593950633122
0.14088813491514823,0.7957219137775323,0.09392611528822202,0.7571501279015471,3.371448013377252
0.05327764497140194,0.04137736218555646,0.1307552260095896,0.8600310044387813,2.3644799734558353
0.04020343644731944,0.14474238109027757,0.12263870653152993,0.8450315669112662,2.619128818820699
0.037874362113728424,0.06213254904519035,0.05517075264797489,0.9372404489496544,5.177997098189664
0.042767603834327664,0.12284141028759916,0.12138232684532042,0.8499821955036531,1.8879536307634102
0.04461793996233914,0.04766143021959126,0.12459537132540408,0.8753046286745956,3.6039967090646874
0.04423341673565117,0.07484208610509505,0.11854985795669036,0.8758956379791895,2.8105177870556965
0.07116259748075608,0.04759310627741816,0.08871044956576819,0.9061995889194094,2.68373002745012
0.05063198810015523,0.04323253603482272,0.06662983624718109,0.9231390821991635,2.570799431134103
0.05112148608951746,0.04355098168663684,0.12423365605365823,0.8747435550333832,2.715090194279265
0.0663940227122993,0.04410497665161273,0.08415118426881348,0.9033826549462022,2.0149312711688414
0.045857603714417924,0.020342645888772506,0.05572657782756264,0.9441734221724377,3.9748508546638397
0.023506200006574916,0.0556540722131786,0.18562275288205832,0.809539562955389,1.716628102337581
0.0567923692317242,0.1909733760374624,0.07830694173320085,0.9153285720310015,3.811702140062792
0.08868836859222824,0.0808486471446558,0.09557555681085642,0.9043244431891433,5.881908446962917
0.040220907372191125,0.08068229998517204,0.10412566869763253,0.8884847157683309,2.853862670468977
0.04298241349327904,0.1466022756912626,0.07318035911896965,0.8954840717454418,3.5566147485609445
0.04915224642836948,0.06146027634277883,0.06919582626026935,0.9152091148810861,2.251256464700534
0.030486610471366762,0.11773924006877988,0.09527269445390131,0.8842426105129972,3.0138077104445165
0.050446711450248524,0.062001587753810386,0.17604956438786418,0.8200913818364889,2.1538068844789784
0.04186625752597627,0.1268757974731115,0.04780605274158523,0.9356220943810544,4.088886489562995
0.04294211955565897,0.0379868790595474,0.08400411816872956,0.906928243629188,2.0170921560177324
0.05421287812821188,0.02995159749753599,0.053411423867732344,0.9464885761322677,4.487687858209028
0.05463579337180992,0.0770270036248066,0.10483370736391069,0.8683895556409323,1.4103317298157836
0.05709504759384011,0.07194178270537473,0.08519762600503049,0.9086409993019998,2.676808498433632
0.07230713826082248,0.04055437602616295,0.06909932038344113,0.9308006796165589,3.1805314993363774
0.041445674557979546,0.12905323147431377,0.11434776254115864,0.8817273812947374,2.6598386537964855
0.05058175547861513,0.054981707910997046,0.05552150705727785,0.9372377922227876,2.4527621919573726
0.031110395507842423,0.07617145287873228,0.09716149978972426,0.8990007172707702,3.560559328887753
0.04653221262886496,0.023351430487106233,0.07064362700575531,0.9270683344247052,2.068957078865894
0.08542492073254415,0.04704518070109511,0.09600465758772132,0.9038953424122786,3.186295358525244
0.07662318852717026,0.1632287082824583,0.128385884001547,0.8399145428528626,2.7795177500313715
0.05902931265556531,0.0680021440077012,0.14337274966343483,0.8565272503365651,2.967961368884379
0.03892668761121794,0.05353731394795485,0.052185243985870065,0.9477147560141299,4.074765569297659
0.053734535923434176,0.06960388090626443,0.08303837998672194,0.9091314012925711,2.8597524820698528
0.057719132880336116,0.045469842523750616,0.06042688334981435,0.9312961617384641,2.6503538425594355
0.13432202478572924,0.1437648118166177,0.18416873285226026,0.8157312671477399,4.311068558067881
0.026941857096484913,0.05091279619547397,0.1066753754588514,0.8910190784682517,2.8164281129096347
0.09037089579493005,0.088030851397807,0.08439595186675856,0.9155040481332417,5.280815535170441
0.06386089631701986,0.06286144994076255,0.15161531888122504,0.8271640698929802,1.5713231052671182
0.03983824022210126,0.06396006920016012,0.0908170694756113,0.8976999639011797,2.288447592534215
0.09136164195288304,0.07374258793106944,0.07386943377779144,0.9260305662222086,3.8948833336767112
0.15084940842509867,0.055578072444288626,0.07792018115287727,0.9219556564896395,3.9299838451895193
0.06283367246979145,0.05445184131682343,0.061329083930577934,0.9366812123387226,3.839386653940604
0.06976159154622699,0.0768281765578023,0.0808426300095923,0.9190573699904077,5.213858410128564
0.059944119993811926,0.041943884764165,0.075844732095001,0.9084849141578832,1.6909033050280309
0.1101890681058816,0.013182527651527477,0.031181894978824024,0.9687181050211765,4.816179122122638
0.03536329401931121,0.0683872852250419,0.13578541042096645,0.8477491811419747,1.4300035241572593
0.07201999840693028,0.1679202834541583,0.11706679444079117,0.8421365040618406,2.1578632172857475
0.09720570681460268,0.07480426221052346,0.07207061868102436,0.9172135216179251,2.8633818422186166
0.0397878972481591,0.045327482283730625,0.12126618783110729,0.8679968822480547,2.252986730704693
0.05041269311313084,0.020818193458326837,0.07302600682088033,0.9267119913971978,2.8558848774839882
